code,party,votes,percentage,seats
0096,PSOE,07388321,02869,123
0083,PP,04295529,01668,066
0022,Cs,04078481,01584,057
0077,PODEMOS-IU-EQUO,03075372,01194,035
0117,VOX,02641231,01026,024
0037,ERC-SOBIRANISTES,01004628,00390,015
0032,ECP-GUANYEM EL CANVI,00608811,00236,007
0049,JxCAT-JUNTS,00492713,00191,007
0027,EAJ-PNV,00394290,00153,006
0033,EH Bildu,00258529,00100,004
0015,CCa-PNC,00130127,00051,002
0052,NA+,00106915,00042,002
0020,COMPROMÍS 2019,00169465,00066,001
0090,PRC,00051849,00020,001
